Study,studyN,Included in MA,Intervention,Comparison,Exercise type,Therapy,TAU,Attention control,year,AGEm,intensityEX2,tg1specEX2,EXEaug2,intervLENGTH,totNrandom,tg1Ndrop,tg1Nrandom,tg2Ndrop,tg2Nrandom,tg1PTSD3PTm,tg1PTSD3PTn,tg1PTSD3PTsd,tg2PTSD3PTn,tg2PTSD3PTm,tg2PTSD3PTsd,RoB PTSD symptom severity
Bryant2023,Bryant2023,Yes,exercise + therapy,attention control + therapy,aerobic,exposure therapy,NA,static stretching,2023,39.04999924,high intensity,aerobic,yes,10,130,7,65,11,65,31.39999962,65,24.05999947,65,35.29999924,24.68000031,Low
Huseth2022,Huseth2022,Yes,exercise only,WLC,aerobic,NA,NA,NA,2022,37,moderate intensity,aerobic,no,8,21,0,11,0,10,51.36999893,10,15.11999989,10,55.63000107,11.97999954,Some concerns
Nordbrandt2020,Nordbrandt2020,Yes,exercise + TAU,TAU,mixed,NA,"combination: medical doctor,  1 to 2 sessions with social worker / psychologist",NA,2020,45.38122177,moderate intensity,mixed,yes,20,224,53,114,6,110,2.970000029,109,0.730000019,104,2.960000038,0.610000014,Some concerns
Rosenbaum2014,Rosenbaum2014,Yes,exercise + TAU,TAU,mixed,NA,"combination: individual and group psychotherapy, pharmacotherapy",NA,2014,49.64073944,high intensity,mixed,yes,12,81,9,39,14,42,53.70000076,30,13.5,28,57.90000153,14.89999962,High
Voorendonk2023,Voorendonk2023,Yes,exercise + therapy,attention control + therapy,mixed,PE + EMDR,NA,guided (creative) tasks,2023,37.49932861,moderate intensity,mixed,yes,12,120,6,60,8,60,17.97999954,59,18.84000015,60,15.32999992,16.87999916,High
Whitworth2019a,Whitworth2019a,Yes,exercise only,attention control,anaerobic,NA,NA,videos on various educational topics (excluding exercise and mental health).,2018,29.10000038,high intensity,anerobic,no,3,30,3,15,3,15,16.29999924,12,11.30000019,12,25.5,14.69999981,High
Whitworth2019b,Whitworth2019b,Yes,exercise only,attention control,anaerobic,NA,NA,videos on various educational topics (excluding exercise and mental health).,2019,32.95000076,high intensity,anerobic,no,3,22,2,11,1,11,25.60000038,9,16.70000076,10,30.89999962,15,High
Young-McCaughan2022a,Young-McCaughan2022,Yes,exercise only,TAU,aerobic,NA,self-care intervention delivering educational and instructional information,NA,2022,35.47222137,high intensity,aerobic,no,8,36,9,17,8,19,36.20000076,17,17.64999962,19,40.70000076,16.82999992,High
Young-McCaughan2022b,Young-McCaughan2022,Yes,exercise + therapy,therapy only,aerobic,imaginal exposure,NA,NA,2022,NA,high intensity,aerobic,yes,8,36,9,19,7,17,34.3,19,75.24,17,34.4,68.68,High
Crombie2021,Crombie2021,No,exercise + extinction learning,attention control + extinction learning,aerobic,extinction learning,NA,NA,2021,NA,moderate intensity,aerobic,yes,3 days,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greene2022a,Greene2022,No,exercise only,attention control,anaerobic,NA,NA,remained sedentary in the lab,2022,NA,high intensity,anaerobic,no,130 min,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greene2022b,Greene2022,No,exercise only,attention control,aerobic,NA,NA,remained sedentary in the lab,2022,NA,moderate intensity,aerobic ,no,130 min,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Powers2015,Powers2015,No,exercise + therapy,therapy alone,aerobic,prolonged exposure,NA,NA,2015,NA,moderate intensity,aerobic,yes,12 weeks,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some concerns
